Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
216971226,"The Fate of the Day: The War for America, Fort Ticonderoga to Charleston, 1777-1780 (Revolution Trilogy, 2)",Rick Atkinson,"Atkinson, Rick",,"=""0593799186""","=""9780593799185""",0,4.67,Crown,Hardcover,880,2025,2025,,2025/07/20,to-read,to-read (#367),to-read,,,,0,0
41812830,"The British Are Coming: The War for America, Lexington to Princeton, 1775-1777",Rick Atkinson,"Atkinson, Rick",John Sterling,"=""1627790438""","=""9781627790437""",0,4.44,Henry Holt and Co.,Hardcover,776,2019,2019,,2025/07/20,to-read,to-read (#366),to-read,,,,0,0
214269337,Raising Hare: A Memoir,Chloe Dalton,"Dalton, Chloe",,"=""0593701844""","=""9780593701843""",0,4.42,Pantheon,Hardcover,285,2025,2025,,2025/07/20,to-read,to-read (#365),to-read,,,,0,0
223436601,"Careless People: A Cautionary Tale of Power, Greed, and Lost Idealism",Sarah Wynn-Williams,"Wynn-Williams, Sarah",,"=""1250391237""","=""9781250391230""",0,4.23,Flatiron Books,Hardcover,382,2025,2025,,2025/07/20,to-read,to-read (#364),to-read,,,,0,0
218460355,"Mother Emanuel: Two Centuries of Race, Resistance, and Forgiveness in One Charleston Church",Kevin Sack,"Sack, Kevin",,"=""1524761303""","=""9781524761301""",0,4.59,Crown,Hardcover,480,2025,,,2025/07/20,to-read,to-read (#363),to-read,,,,0,0
215362634,There Is No Place for Us: Working and Homeless in America,Brian Goldstone,"Goldstone, Brian",,"=""0593237145""","=""9780593237144""",0,4.66,Crown,Hardcover,448,2025,2025,,2025/07/20,to-read,to-read (#362),to-read,,,,0,0
214565614,The Buffalo Hunter Hunter,Stephen Graham Jones,"Jones, Stephen Graham",,"=""1668075083""","=""9781668075081""",0,4.11,S&S/Saga Press,Hardcover,435,2025,2025,,2025/07/20,to-read,to-read (#361),to-read,,,,0,0
215020997,Bury Our Bones in the Midnight Soil,V.E. Schwab,"Schwab, V.E.",Victoria Schwab,"=""1035064642""","=""9781035064649""",0,4.15,Tor,Hardcover,535,2025,2025,,2025/07/20,to-read,to-read (#360),to-read,,,,0,0
219833252,King of Ashes,S.A. Cosby,"Cosby, S.A.",,"=""1250832063""","=""9781250832061""",0,4.18,Pine & Cedar,Hardcover,333,2025,2025,,2025/07/20,to-read,to-read (#359),to-read,,,,0,0
220160387,The Director,Daniel Kehlmann,"Kehlmann, Daniel",Ross Benjamin,"=""1668087790""","=""9781668087794""",0,4.22,S&S/Summit Books,Hardcover,352,2025,2023,,2025/07/20,to-read,to-read (#358),to-read,,,,0,0
33630235,The Heart's Invisible Furies,John Boyne,"Boyne, John",,"=""""","=""""",0,4.51,Transworld Digital,Kindle Edition,567,2017,2017,,2025/07/17,to-read,to-read (#357),to-read,,,,0,0
2199,Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,"Goodwin, Doris Kearns",,"=""""","=""""",0,4.28,Simon & Schuster,Paperback,916,2006,2005,,2025/06/30,to-read,to-read (#356),to-read,,,,0,0
17334495,"The Bully Pulpit: Theodore Roosevelt, William Howard Taft, and the Golden Age of Journalism",Doris Kearns Goodwin,"Goodwin, Doris Kearns",,"=""""","=""""",0,4.15,Simon & Schuster,Hardcover,910,2013,2013,,2025/06/30,to-read,to-read (#355),to-read,,,,0,0
61913599,Deliver Me from Nowhere: The Making of Bruce Springsteen's Nebraska,Warren Zanes,"Zanes, Warren",,"=""0593237412""","=""9780593237410""",0,4.39,Crown,Hardcover,320,2023,2023,,2025/06/26,to-read,to-read (#354),to-read,,,,0,0
1598221,"Gold and Iron: Bismarck, Bleichröder and the Building of the German Empire",Fritz Stern,"Stern, Fritz",,"=""0394740343""","=""9780394740348""",0,4.05,Vintage,Paperback,672,1979,1980,,2025/06/23,to-read,to-read (#353),to-read,,,,0,0
428519,"A History of the Crusades, Volume 1: The First Crusade and the Foundations of the Kingdom of Jerusalem",Steven Runciman,"Runciman, Steven",,"=""052134770X""","=""9780521347709""",0,4.28,Cambridge University Press,Paperback,394,1987,1951,,2025/06/23,to-read,to-read (#352),to-read,,,,0,0
849439,The Collapse of British Power,Correlli Barnett,"Barnett, Correlli",,"=""0862990742""","=""9780862990749""",0,4.21,Sutton Publishing Ltd.,Paperback,655,1984,1972,,2025/06/23,to-read,to-read (#351),to-read,,,,0,0
573022,The Third Reich: A New History,Michael Burleigh,"Burleigh, Michael",,"=""080909326X""","=""9780809093267""",0,4.10,Hill and Wang,Paperback,992,2001,2000,,2025/06/23,to-read,to-read (#350),to-read,,,,0,0
16127678,"English History, 1914–1945",A.J.P. Taylor,"Taylor, A.J.P.",,"=""0198217153""","=""9780198217152""",0,4.14,Oxford - At The Clarendon Press,Hardcover,709,1965,1965,,2025/06/23,to-read,to-read (#349),to-read,,,,0,0
1138543,The Strange Death of Liberal England,George Dangerfield,"Dangerfield, George",,"=""0804729301""","=""9780804729307""",0,4.11,Stanford University Press,Paperback,364,1997,1935,,2025/06/23,to-read,to-read (#348),to-read,,,,0,0
